,scoredFor,xGF_before,xGF_after,xGA_before,xGA_after,time_before,time_after,anyone_switch,forw_switch,def_switch,us,them,score_dif
0,1,0.515594,0.0,0.0,0.23840319999999998,2.0,31.0,1,1,1,"(8477503.0, 8474038.0, 8477476.0, 8476422.0, 8478454.0)","(8466139.0, 8479318.0, 8474589.0, 8468493.0, 8476853.0)",0.0
1,0,0.0,0.23840319999999998,0.515594,0.0,5.0,31.0,0,0,0,"(8466139.0, 8479318.0, 8474589.0, 8468493.0, 8476853.0)","(8477503.0, 8474038.0, 8477476.0, 8476422.0, 8478454.0)",0.0
2,0,0.0,0.0,0.0,0.0,0.0,16.0,0,0,0,"(8476285.0, 8476381.0, 8476948.0, 8479376.0, 8476443.0)","(8478483.0, 8475166.0, 8476410.0, 8468493.0, 8478408.0)",
3,1,0.0,0.0,0.0,0.0,0.0,16.0,0,0,0,"(8478483.0, 8475166.0, 8476410.0, 8468493.0, 8478408.0)","(8476285.0, 8476381.0, 8476948.0, 8479376.0, 8476443.0)",
4,0,0.0,0.0,0.0329695,0.0,24.0,0.0,0,0,0,"(8470638.0, 8473419.0, 8477956.0, 8465009.0, 8479325.0)","(8473563.0, 8471698.0, 8477944.0, 8471702.0, 8475200.0)",0.0
5,1,0.0329695,0.0,0.0,0.0,24.0,40.0,0,0,0,"(8473563.0, 8471698.0, 8477944.0, 8471702.0, 8475200.0)","(8470638.0, 8473419.0, 8477956.0, 8465009.0, 8479325.0)",0.0
6,0,0.0,0.0,0.0,0.0,24.0,32.0,0,0,0,"(8470638.0, 8473419.0, 8477956.0, 8476891.0, 8476191.0)","(8475343.0, 8475758.0, 8477573.0, 8477043.0, 8474590.0)",
7,1,0.0,0.0,0.0,0.0,24.0,32.0,0,0,0,"(8475343.0, 8475758.0, 8477573.0, 8477043.0, 8474590.0)","(8470638.0, 8473419.0, 8477956.0, 8476891.0, 8476191.0)",
8,0,0.0,0.0,0.0,0.0,24.0,39.0,0,0,0,"(8475807.0, 8478569.0, 8475780.0, 8478443.0, 8465009.0)","(8476905.0, 8474189.0, 8477444.0, 8477474.0, 8468498.0)",
9,1,0.0,0.0,0.0,0.0,24.0,39.0,0,0,0,"(8476905.0, 8474189.0, 8477444.0, 8477474.0, 8468498.0)","(8475807.0, 8478569.0, 8475780.0, 8478443.0, 8465009.0)",
10,0,0.0,0.0105921,0.05424299999999999,0.0,7.0,27.0,0,0,0,"(8476873.0, 8477935.0, 8473564.0, 8479976.0, 8474628.0)","(8480012.0, 8477958.0, 8470626.0, 8476884.0, 8475690.0)",
11,1,0.05424299999999999,0.0657817,0.0,0.0105921,7.0,57.0,0,0,0,"(8480012.0, 8477958.0, 8470626.0, 8476884.0, 8475690.0)","(8476873.0, 8477935.0, 8473564.0, 8479976.0, 8474628.0)",
12,0,0.0,0.0,0.0,0.0,6.0,28.0,0,0,0,"(8477497.0, 8477496.0, 8476346.0, 8474612.0, 8478396.0)","(8480012.0, 8477958.0, 8470626.0, 8476884.0, 8475790.0)",
13,1,0.0,0.0,0.0,0.0,6.0,28.0,0,0,1,"(8480012.0, 8477958.0, 8470626.0, 8476884.0, 8475790.0)","(8477497.0, 8477496.0, 8476346.0, 8474612.0, 8478396.0)",
14,0,0.0,0.0,0.0,0.0,28.0,27.0,0,0,0,"(8478585.0, 8477496.0, 8479346.0, 8479976.0, 8474628.0)","(8476440.0, 8474291.0, 8476894.0, 8476884.0, 8475790.0)",
15,1,0.0,0.0,0.0,0.0,28.0,5.0,0,0,0,"(8476440.0, 8474291.0, 8476894.0, 8476884.0, 8475790.0)","(8478585.0, 8477496.0, 8479346.0, 8479976.0, 8474628.0)",
16,1,0.0,0.0,0.0,0.0,21.0,25.0,0,0,0,"(8474150.0, 8478512.0, 8479314.0, 8474612.0, 8478396.0)","(8477500.0, 8478444.0, 8476466.0, 8474584.0, 8479442.0)",
17,0,0.0,0.0,0.0,0.0,21.0,147.0,0,0,0,"(8477500.0, 8478444.0, 8476466.0, 8474584.0, 8479442.0)","(8474150.0, 8478512.0, 8479314.0, 8474612.0, 8478396.0)",
18,0,0.0,0.0,0.0,0.0,11.0,14.0,0,0,0,"(8477497.0, 8477496.0, 8476346.0, 8479314.0, 8470966.0)","(8474091.0, 8477353.0, 8477937.0, 8476884.0, 8475790.0)",
19,1,0.0,0.0,0.0,0.0,0.0,29.0,0,0,1,"(8474091.0, 8477353.0, 8477937.0, 8476884.0, 8475790.0)","(8477497.0, 8477496.0, 8476346.0, 8479314.0, 8470966.0)",
20,1,0.0,0.0,0.0,0.0,34.0,40.0,0,0,0,"(8477497.0, 8476346.0, 8471707.0, 8470966.0, 8474673.0)","(8477500.0, 8478444.0, 8476466.0, 8475690.0, 8471303.0)",
21,0,0.0,0.0,0.0,0.0,25.0,40.0,0,0,0,"(8477500.0, 8478444.0, 8476466.0, 8475690.0, 8471303.0)","(8477497.0, 8476346.0, 8471707.0, 8470966.0, 8474673.0)",
22,1,0.0668314,0.0,0.0,0.023174200000000002,0.0,14.0,0,0,1,"(8474641.0, 8475164.0, 8480031.0, 8475764.0, 8476312.0)","(8474053.0, 8476881.0, 8478099.0, 8477046.0, 8470613.0)",
23,0,0.0,0.023174200000000002,0.0668314,0.0,0.0,14.0,1,1,1,"(8474053.0, 8476881.0, 8478099.0, 8477046.0, 8470613.0)","(8474641.0, 8475164.0, 8480031.0, 8475764.0, 8476312.0)",
24,0,0.0,0.07589739999999999,0.0310813,0.0,0.0,21.0,0,0,1,"(8474641.0, 8476857.0, 8480031.0, 8475764.0, 8476312.0)","(8474053.0, 8478099.0, 8475169.0, 8477046.0, 8470613.0)",1.0
25,1,0.0310813,0.0,0.0,0.07589739999999999,0.0,22.0,0,0,1,"(8474053.0, 8478099.0, 8475169.0, 8477046.0, 8470613.0)","(8474641.0, 8476857.0, 8480031.0, 8475764.0, 8476312.0)",-1.0
26,1,0.0,0.0,0.0,0.0,0.0,24.0,0,0,0,"(8474641.0, 8478873.0, 8480031.0, 8475764.0, 8477986.0)","(8474053.0, 8478099.0, 8475169.0, 8471709.0, 8474578.0)",
27,0,0.0,0.0,0.0,0.0,0.0,24.0,0,0,0,"(8474053.0, 8478099.0, 8475169.0, 8471709.0, 8474578.0)","(8474641.0, 8478873.0, 8480031.0, 8475764.0, 8477986.0)",
28,1,0.0503389,0.057139699999999995,0.0,0.0,0.0,19.0,0,0,0,"(8470638.0, 8473419.0, 8477956.0, 8465009.0, 8479325.0)","(8478403.0, 8477933.0, 8475784.0, 8474618.0, 8477499.0)",
29,0,0.0,0.0,0.0503389,0.057139699999999995,0.0,19.0,0,0,0,"(8478403.0, 8477933.0, 8475784.0, 8474618.0, 8477499.0)","(8470638.0, 8473419.0, 8477956.0, 8465009.0, 8479325.0)",
30,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"(8471276.0, 8473419.0, 8477956.0, 8475186.0, 8479325.0)","(8473534.0, 8479420.0, 8477839.0, 8476931.0, 8480839.0)",
31,0,0.0,0.0,0.0,0.0,9.0,0.0,0,0,1,"(8473534.0, 8479420.0, 8477839.0, 8476931.0, 8480839.0)","(8471276.0, 8473419.0, 8477956.0, 8475186.0, 8479325.0)",
32,1,0.0,0.0,0.0,0.0,13.0,16.0,0,0,1,"(8474068.0, 8475225.0, 8476887.0, 8475218.0, 8474056.0)","(8479353.0, 8476480.0, 8479968.0, 8480145.0, 8476869.0)",
33,0,0.0,0.0,0.0,0.0,13.0,39.0,0,0,0,"(8479353.0, 8476480.0, 8479968.0, 8480145.0, 8476869.0)","(8474068.0, 8475225.0, 8476887.0, 8475218.0, 8474056.0)",
34,0,0.0,0.0,0.0,0.0,72.0,8.0,0,0,0,"(8474009.0, 8475714.0, 8477451.0, 8475218.0, 8474056.0)","(8475727.0, 8480078.0, 8475855.0, 8471717.0, 8476869.0)",
35,1,0.0,0.0,0.0,0.0,29.0,36.0,0,0,0,"(8475727.0, 8480078.0, 8475855.0, 8471717.0, 8476869.0)","(8474009.0, 8475714.0, 8477451.0, 8475218.0, 8474056.0)",
36,1,0.0,0.0,0.0,0.0,4.0,0.0,0,0,1,"(8476925.0, 8474736.0, 8476447.0, 8475218.0, 8474056.0)","(8479353.0, 8475727.0, 8479968.0, 8474031.0, 8474090.0)",
37,0,0.0,0.0,0.0,0.0,4.0,46.0,0,0,1,"(8479353.0, 8475727.0, 8479968.0, 8474031.0, 8474090.0)","(8476925.0, 8474736.0, 8476447.0, 8475218.0, 8474056.0)",
38,0,0.0,0.0,0.026429700000000004,0.017613900000000002,31.0,44.0,0,0,0,"(8476905.0, 8475744.0, 8475792.0, 8477043.0, 8474590.0)","(8471215.0, 8473548.0, 8474176.0, 8474602.0, 8476467.0)",
39,1,0.026429700000000004,0.0,0.0,0.0,12.0,16.0,0,0,1,"(8471215.0, 8473548.0, 8474176.0, 8474602.0, 8476467.0)","(8476905.0, 8475744.0, 8475792.0, 8477043.0, 8474590.0)",
40,1,0.11903,0.0,0.0,0.0,21.0,32.0,0,0,1,"(8473563.0, 8471698.0, 8477944.0, 8477043.0, 8474590.0)","(8464989.0, 8475772.0, 8478466.0, 8476874.0, 8471677.0)",
41,0,0.0,0.0,0.11903,0.038806099999999996,21.0,48.0,0,0,0,"(8464989.0, 8475772.0, 8478466.0, 8476874.0, 8471677.0)","(8473563.0, 8471698.0, 8477944.0, 8477043.0, 8474590.0)",
42,1,0.038806099999999996,0.0,0.0,0.0,0.0,34.0,0,0,1,"(8475744.0, 8475792.0, 8471214.0, 8477474.0, 8468498.0)","(8471215.0, 8473548.0, 8474176.0, 8475208.0, 8471724.0)",
43,0,0.0,0.0,0.038806099999999996,0.0,48.0,34.0,0,0,0,"(8471215.0, 8473548.0, 8474176.0, 8475208.0, 8471724.0)","(8475744.0, 8475792.0, 8471214.0, 8477474.0, 8468498.0)",
44,1,0.10364000000000001,0.0,0.0,0.00633286,18.0,18.0,0,0,0,"(8475744.0, 8475792.0, 8471214.0, 8477043.0, 8474590.0)","(8464989.0, 8475772.0, 8475810.0, 8475208.0, 8471724.0)",
45,0,0.0,0.00633286,0.10364000000000001,0.0,18.0,18.0,0,0,0,"(8464989.0, 8475772.0, 8475810.0, 8475208.0, 8471724.0)","(8475744.0, 8475792.0, 8471214.0, 8477043.0, 8474590.0)",
46,0,0.0,0.0,0.0,0.0,14.0,49.0,0,0,0,"(8473563.0, 8471698.0, 8477944.0, 8471702.0, 8475200.0)","(8477404.0, 8471675.0, 8471887.0, 8475208.0, 8471724.0)",
47,1,0.0,0.0,0.0,0.0,3.0,49.0,0,0,0,"(8477404.0, 8471675.0, 8471887.0, 8475208.0, 8471724.0)","(8473563.0, 8471698.0, 8477944.0, 8471702.0, 8475200.0)",
48,1,0.0,0.0,0.0,0.0,13.0,19.0,0,0,0,"(8475744.0, 8475792.0, 8477944.0, 8475200.0, 8474590.0)","(8477404.0, 8471675.0, 8471887.0, 8474602.0, 8476467.0)",
49,0,0.0,0.0,0.0,0.0,13.0,19.0,0,0,0,"(8477404.0, 8471675.0, 8471887.0, 8474602.0, 8476467.0)","(8475744.0, 8475792.0, 8477944.0, 8475200.0, 8474590.0)",
50,0,0.0,0.0,0.0,0.0,36.0,12.0,0,0,0,"(8476905.0, 8474189.0, 8477444.0, 8471702.0, 8475200.0)","(8477404.0, 8471675.0, 8471887.0, 8474602.0, 8476467.0)",
51,1,0.0,0.0,0.0,0.0,36.0,12.0,0,0,0,"(8477404.0, 8471675.0, 8471887.0, 8474602.0, 8476467.0)","(8476905.0, 8474189.0, 8477444.0, 8471702.0, 8475200.0)",
52,0,0.0,0.0,0.0,0.0,10.0,32.0,0,0,0,"(8475744.0, 8475792.0, 8471214.0, 8477474.0, 8468498.0)","(8478866.0, 8473544.0, 8475810.0, 8475208.0, 8471724.0)",
53,1,0.0,0.0,0.0,0.0,10.0,32.0,0,0,0,"(8478866.0, 8473544.0, 8475810.0, 8475208.0, 8471724.0)","(8475744.0, 8475792.0, 8471214.0, 8477474.0, 8468498.0)",
54,0,0.0,0.0,0.0,0.0,0.0,44.0,0,0,0,"(8476905.0, 8474189.0, 8475792.0, 8471702.0, 8475200.0)","(8471215.0, 8473548.0, 8471675.0, 8471724.0, 8471677.0)",
55,1,0.0,0.0,0.0,0.0,0.0,36.0,0,0,0,"(8471215.0, 8473548.0, 8471675.0, 8471724.0, 8471677.0)","(8476905.0, 8474189.0, 8475792.0, 8471702.0, 8475200.0)",
56,1,0.0,0.0,0.0,0.0,2.0,21.0,0,1,0,"(8473563.0, 8471698.0, 8477944.0, 8471702.0, 8468498.0)","(8471215.0, 8473548.0, 8474176.0, 8474602.0, 8476467.0)",
57,0,0.0,0.0,0.0,0.0,8.0,21.0,0,0,0,"(8471215.0, 8473548.0, 8474176.0, 8474602.0, 8476467.0)","(8473563.0, 8471698.0, 8477944.0, 8471702.0, 8468498.0)",
58,1,0.0,0.0,0.0,0.0,21.0,0.0,1,1,1,"(8473563.0, 8471698.0, 8477944.0, 8477043.0, 8474590.0)","(8478866.0, 8473544.0, 8475810.0, 8475208.0, 8471724.0)",
59,0,0.0,0.0,0.0,0.0,21.0,0.0,1,1,1,"(8478866.0, 8473544.0, 8475810.0, 8475208.0, 8471724.0)","(8473563.0, 8471698.0, 8477944.0, 8477043.0, 8474590.0)",
60,1,0.0,0.0,0.0,0.0,10.0,0.0,0,0,1,"(8474586.0, 8475754.0, 8470047.0, 8475181.0, 8474066.0)","(8478027.0, 8476934.0, 8476921.0, 8476462.0, 8476958.0)",
61,0,0.0,0.0,0.0,0.0,31.0,0.0,0,0,0,"(8478027.0, 8476934.0, 8476921.0, 8476462.0, 8476958.0)","(8474586.0, 8475754.0, 8470047.0, 8475181.0, 8474066.0)",
62,1,0.0129651,0.0,0.0,0.0,0.0,22.0,0,0,1,"(8473604.0, 8480946.0, 8479337.0, 8470607.0, 8475430.0)","(8476919.0, 8480029.0, 8474571.0, 8475227.0, 8478469.0)",
63,0,0.0,0.0,0.0129651,0.07942869999999999,45.0,61.0,0,0,0,"(8476919.0, 8480029.0, 8474571.0, 8475227.0, 8478469.0)","(8473604.0, 8480946.0, 8479337.0, 8470607.0, 8475430.0)",
64,0,0.0,0.0,0.10383599999999998,0.0,11.0,33.0,0,0,0,"(8475323.0, 8477366.0, 8478561.0, 8470281.0, 8480035.0)","(8474250.0, 8478400.0, 8475913.0, 8475227.0, 8478469.0)",
65,1,0.10383599999999998,0.0,0.0,0.0,11.0,19.0,1,1,1,"(8474250.0, 8478400.0, 8475913.0, 8475227.0, 8478469.0)","(8475323.0, 8477366.0, 8478561.0, 8470281.0, 8480035.0)",
66,1,0.014836000000000002,0.0,0.0,0.0,0.0,33.0,0,0,1,"(8473604.0, 8480946.0, 8479337.0, 8470281.0, 8480035.0)","(8474250.0, 8478400.0, 8475913.0, 8476879.0, 8474697.0)",
67,0,0.037082199999999996,0.0,0.0351514,0.0,34.0,33.0,0,0,0,"(8474250.0, 8478400.0, 8475913.0, 8476879.0, 8474697.0)","(8473604.0, 8480946.0, 8479337.0, 8470281.0, 8480035.0)",
68,0,0.0,0.0,0.08826739,0.0,24.0,27.0,0,0,0,"(8477951.0, 8474141.0, 8476438.0, 8470607.0, 8475430.0)","(8476288.0, 8475168.0, 8471676.0, 8476331.0, 8479320.0)",1.0
69,1,0.08826739,0.0,0.0,0.0,24.0,27.0,0,0,0,"(8476288.0, 8475168.0, 8471676.0, 8476331.0, 8479320.0)","(8477951.0, 8474141.0, 8476438.0, 8470607.0, 8475430.0)",-1.0
70,1,0.0,0.0,0.0,0.0,32.0,18.0,0,0,0,"(8475323.0, 8480144.0, 8474141.0, 8470607.0, 8475430.0)","(8476288.0, 8475168.0, 8471676.0, 8476879.0, 8474697.0)",
71,0,0.0,0.0,0.0,0.0,32.0,18.0,0,0,0,"(8476288.0, 8475168.0, 8471676.0, 8476879.0, 8474697.0)","(8475323.0, 8480144.0, 8474141.0, 8470607.0, 8475430.0)",
72,0,0.0,0.0,0.0,0.0,37.0,56.0,0,0,0,"(8471273.0, 8476432.0, 8476981.0, 8478567.0, 8478506.0)","(8474679.0, 8477946.0, 8477511.0, 8479395.0, 8477215.0)",
73,1,0.0,0.0,0.0,0.0,0.0,56.0,0,0,1,"(8474679.0, 8477946.0, 8477511.0, 8479395.0, 8477215.0)","(8471273.0, 8476432.0, 8476981.0, 8478567.0, 8478506.0)",
74,1,0.0,0.0,0.0,0.0,0.0,23.0,0,0,1,"(8471273.0, 8476981.0, 8477407.0, 8478460.0, 8475233.0)","(8474679.0, 8476822.0, 8471794.0, 8479395.0, 8477215.0)",
75,0,0.0,0.0,0.0,0.0,0.0,23.0,0,0,0,"(8474679.0, 8476822.0, 8471794.0, 8479395.0, 8477215.0)","(8471273.0, 8476981.0, 8477407.0, 8478460.0, 8475233.0)",
76,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,"(8476460.0, 8471218.0, 8478398.0, 8470834.0, 8474574.0)","(8475098.0, 8475158.0, 8475765.0, 8474034.0, 8478407.0)",
77,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"(8475098.0, 8475158.0, 8475765.0, 8474034.0, 8478407.0)","(8476460.0, 8471218.0, 8478398.0, 8470834.0, 8474574.0)",
78,1,0.0,0.0,0.0,0.0,0.0,43.0,0,0,0,"(8476460.0, 8479339.0, 8478398.0, 8476885.0, 8477504.0)","(8480023.0, 8477964.0, 8478104.0, 8470151.0, 8474565.0)",
79,0,0.0,0.0,0.0,0.0,40.0,43.0,0,0,0,"(8480023.0, 8477964.0, 8478104.0, 8470151.0, 8474565.0)","(8476460.0, 8479339.0, 8478398.0, 8476885.0, 8477504.0)",
80,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"(8478458.0, 8479293.0, 8480005.0, 8474574.0, 8476476.0)","(8480023.0, 8477964.0, 8478104.0, 8471761.0, 8476877.0)",
81,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"(8480023.0, 8477964.0, 8478104.0, 8471761.0, 8476877.0)","(8478458.0, 8479293.0, 8480005.0, 8474574.0, 8476476.0)",
82,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"(8477429.0, 8473412.0, 8471218.0, 8476885.0, 8477504.0)","(8475098.0, 8475158.0, 8474034.0, 8474565.0, 8478407.0)",
83,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,"(8475098.0, 8475158.0, 8474034.0, 8474565.0, 8478407.0)","(8477429.0, 8473412.0, 8471218.0, 8476885.0, 8477504.0)",
84,0,0.0,0.0,0.0,0.0,2.0,10.0,0,0,0,"(8476393.0, 8470755.0, 8478474.0, 8471769.0, 8475246.0)","(8476889.0, 8476913.0, 8475752.0, 8480036.0, 8476941.0)",
85,1,0.0,0.0,0.0,0.0,2.0,28.0,0,0,0,"(8476889.0, 8476913.0, 8475752.0, 8480036.0, 8476941.0)","(8476393.0, 8470755.0, 8478474.0, 8471769.0, 8475246.0)",
86,0,0.0,0.0,0.0,0.0,18.0,37.0,0,0,0,"(8476393.0, 8470755.0, 8473546.0, 8471274.0, 8477851.0)","(8475794.0, 8471228.0, 8473994.0, 8476941.0, 8471392.0)",
87,1,0.0,0.0,0.0,0.0,28.0,37.0,0,0,0,"(8475794.0, 8471228.0, 8473994.0, 8476941.0, 8471392.0)","(8476393.0, 8470755.0, 8473546.0, 8471274.0, 8477851.0)",
88,1,0.0973589,0.0,0.0,0.0,0.0,0.0,0,0,1,"(8469459.0, 8475799.0, 8470610.0, 8474688.0, 8476372.0)","(8477492.0, 8478420.0, 8476455.0, 8473446.0, 8479398.0)",
89,0,0.0,0.0,0.0973589,0.0,26.0,0.0,0,0,0,"(8477492.0, 8478420.0, 8476455.0, 8473446.0, 8479398.0)","(8469459.0, 8475799.0, 8470610.0, 8474688.0, 8476372.0)",
90,0,0.0,0.0,0.0868679,0.00823404,0.0,40.0,0,0,0,"(8478493.0, 8470611.0, 8478413.0, 8474688.0, 8476372.0)","(8471262.0, 8475268.0, 8476442.0, 8473446.0, 8479398.0)",
91,1,0.0868679,0.00823404,0.0,0.0,0.0,40.0,0,0,1,"(8471262.0, 8475268.0, 8476442.0, 8473446.0, 8479398.0)","(8478493.0, 8470611.0, 8478413.0, 8474688.0, 8476372.0)",
92,0,0.0,0.0,0.0,0.0,0.0,28.0,0,1,0,"(8469459.0, 8475799.0, 8470610.0, 8470600.0, 8476463.0)","(8477492.0, 8478420.0, 8476455.0, 8475747.0, 8477507.0)",
93,1,0.0,0.0,0.0,0.0,0.0,49.0,1,1,1,"(8477492.0, 8478420.0, 8476455.0, 8475747.0, 8477507.0)","(8469459.0, 8475799.0, 8470610.0, 8470600.0, 8476463.0)",
94,0,0.0,0.0,0.0,0.0,31.0,0.0,1,1,1,"(8469459.0, 8475798.0, 8470610.0, 8470600.0, 8476856.0)","(8477021.0, 8471262.0, 8477456.0, 8473446.0, 8479398.0)",
95,1,0.0,0.0,0.0,0.0,31.0,0.0,1,1,1,"(8477021.0, 8471262.0, 8477456.0, 8473446.0, 8479398.0)","(8469459.0, 8475798.0, 8470610.0, 8470600.0, 8476856.0)",
96,0,0.0,0.0,0.0457474,0.0,0.0,0.0,1,1,1,"(8474627.0, 8477290.0, 8476872.0, 8473584.0, 8476906.0)","(8476539.0, 8471817.0, 8477930.0, 8475750.0, 8474207.0)",
97,1,0.0457474,0.0,0.0,0.0,0.0,38.0,0,0,1,"(8476539.0, 8471817.0, 8477930.0, 8475750.0, 8474207.0)","(8474627.0, 8477290.0, 8476872.0, 8473584.0, 8476906.0)",
98,1,0.031336,0.0,0.0,0.0869105,0.0,25.0,0,0,0,"(8478844.0, 8474161.0, 8478067.0, 8477948.0, 8473584.0)","(8471817.0, 8477478.0, 8477930.0, 8475750.0, 8474207.0)",
99,0,0.0,0.0869105,0.031336,0.0,0.0,25.0,0,0,1,"(8471817.0, 8477478.0, 8477930.0, 8475750.0, 8474207.0)","(8478844.0, 8474161.0, 8478067.0, 8477948.0, 8473584.0)",
100,1,0.5756960000000001,0.0405477,0.0,0.0,6.0,18.0,0,0,0,"(8478844.0, 8474190.0, 8474037.0, 8477462.0, 8473584.0)","(8475715.0, 8477846.0, 8477931.0, 8475750.0, 8474207.0)",0.0
101,0,0.0,0.0,0.5756960000000001,0.0405477,6.0,48.0,0,0,0,"(8475715.0, 8477846.0, 8477931.0, 8475750.0, 8474207.0)","(8478844.0, 8474190.0, 8474037.0, 8477462.0, 8473584.0)",0.0
102,1,0.0,0.0,0.0,0.0,0.0,6.0,0,0,1,"(8478844.0, 8474190.0, 8474037.0, 8477462.0, 8473584.0)","(8475715.0, 8477846.0, 8477931.0, 8475750.0, 8474207.0)",
103,0,0.0,0.0,0.0,0.0,16.0,6.0,0,1,0,"(8475715.0, 8477846.0, 8477931.0, 8475750.0, 8474207.0)","(8478844.0, 8474190.0, 8474037.0, 8477462.0, 8473584.0)",
104,1,0.0,0.0,0.0,0.0,0.0,32.0,0,0,0,"(8474627.0, 8477290.0, 8476872.0, 8475462.0, 8477948.0)","(8471669.0, 8475287.0, 8474157.0, 8468674.0, 8477447.0)",
105,0,0.0,0.0,0.0,0.0,0.0,32.0,0,1,0,"(8471669.0, 8475287.0, 8474157.0, 8468674.0, 8477447.0)","(8474627.0, 8477290.0, 8476872.0, 8475462.0, 8477948.0)",
106,1,0.06000930000000001,0.0,0.0,0.0,2.0,0.0,1,1,1,"(8478027.0, 8480830.0, 8476921.0, 8477488.0, 8477845.0)","(8478550.0, 8474715.0, 8479400.0, 8478460.0, 8475233.0)",
107,0,0.0,0.0,0.06000930000000001,0.0138995,2.0,33.0,0,0,0,"(8478550.0, 8474715.0, 8479400.0, 8478460.0, 8475233.0)","(8478027.0, 8480830.0, 8476921.0, 8477488.0, 8477845.0)",
108,0,0.0,0.010263,0.49466400000000005,0.0,3.0,30.0,1,1,1,"(8478427.0, 8475907.0, 8476882.0, 8475753.0, 8475177.0)","(8471273.0, 8476432.0, 8476981.0, 8478460.0, 8475233.0)",1.0
109,1,0.49466400000000005,0.0,0.0,0.010263,3.0,30.0,0,0,1,"(8471273.0, 8476432.0, 8476981.0, 8478460.0, 8475233.0)","(8478427.0, 8475907.0, 8476882.0, 8475753.0, 8475177.0)",-1.0
110,1,0.0,0.0,0.0,0.0,7.0,0.0,1,1,1,"(8478427.0, 8475907.0, 8476882.0, 8477488.0, 8475753.0)","(8471273.0, 8476981.0, 8477947.0, 8476850.0, 8478906.0)",
111,0,0.0,0.0,0.0,0.0,7.0,0.0,0,0,0,"(8471273.0, 8476981.0, 8477947.0, 8476850.0, 8478906.0)","(8478427.0, 8475907.0, 8476882.0, 8477488.0, 8475753.0)",
112,1,0.0,0.0,0.0,0.0,0.0,24.0,0,0,1,"(8473533.0, 8478427.0, 8475907.0, 8476462.0, 8476958.0)","(8477505.0, 8476432.0, 8477416.0, 8477407.0, 8476850.0)",
113,0,0.0,0.0,0.0,0.0,18.0,24.0,0,0,0,"(8477505.0, 8476432.0, 8477416.0, 8477407.0, 8476850.0)","(8473533.0, 8478427.0, 8475907.0, 8476462.0, 8476958.0)",
114,1,0.100895,0.0,0.0,0.0,15.0,28.0,0,0,1,"(8470794.0, 8466138.0, 8478414.0, 8471709.0, 8474578.0)","(8473453.0, 8470775.0, 8475160.0, 8475762.0, 8474166.0)",
115,0,0.0,0.0,0.100895,0.0,34.0,28.0,0,0,0,"(8473453.0, 8470775.0, 8475160.0, 8475762.0, 8474166.0)","(8470794.0, 8466138.0, 8478414.0, 8471709.0, 8474578.0)",
116,1,0.042432599999999994,0.0,0.0,0.0,12.0,12.0,0,1,0,"(8480965.0, 8475820.0, 8475169.0, 8475455.0, 8474027.0)","(8470775.0, 8475726.0, 8470604.0, 8480147.0, 8475762.0)",
117,0,0.0,0.0,0.042432599999999994,0.0,12.0,12.0,0,0,0,"(8470775.0, 8475726.0, 8470604.0, 8480147.0, 8475762.0)","(8480965.0, 8475820.0, 8475169.0, 8475455.0, 8474027.0)",
118,0,0.0,0.0,0.4793919,0.07811799999999999,13.0,19.0,0,0,0,"(8476624.0, 8477922.0, 8475834.0, 8475455.0, 8474027.0)","(8471685.0, 8480113.0, 8469454.0, 8474563.0, 8475762.0)",2.0
119,1,0.4793919,0.07811799999999999,0.0,0.0,13.0,19.0,0,0,1,"(8471685.0, 8480113.0, 8469454.0, 8474563.0, 8475762.0)","(8476624.0, 8477922.0, 8475834.0, 8475455.0, 8474027.0)",-2.0
120,0,0.0,0.0,0.0,0.0,37.0,55.0,0,0,0,"(8474053.0, 8476881.0, 8478099.0, 8471709.0, 8474578.0)","(8475726.0, 8470604.0, 8476871.0, 8474563.0, 8475762.0)",
121,1,0.0,0.0,0.0,0.0,37.0,55.0,0,0,0,"(8475726.0, 8470604.0, 8476871.0, 8474563.0, 8475762.0)","(8474053.0, 8476881.0, 8478099.0, 8471709.0, 8474578.0)",
122,1,0.0,0.0,0.0,0.0,27.0,51.0,0,0,1,"(8479353.0, 8475727.0, 8479968.0, 8471717.0, 8476869.0)","(8478403.0, 8473449.0, 8477839.0, 8479268.0, 8476470.0)",
123,0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,"(8478403.0, 8473449.0, 8477839.0, 8479268.0, 8476470.0)","(8479353.0, 8475727.0, 8479968.0, 8471717.0, 8476869.0)",
124,1,0.0503175,0.07799539999999999,0.0,0.0,6.0,47.0,0,0,1,"(8474250.0, 8475913.0, 8474571.0, 8476331.0, 8478469.0)","(8475172.0, 8477015.0, 8476410.0, 8479458.0, 8474581.0)",
125,0,0.0,0.0,0.0503175,0.07799539999999999,6.0,47.0,0,0,1,"(8475172.0, 8477015.0, 8476410.0, 8479458.0, 8474581.0)","(8474250.0, 8475913.0, 8474571.0, 8476331.0, 8478469.0)",
