,scoredFor,xGF_before,xGF_after,xGA_before,xGA_after,time_before,time_after,anyone_switch,forw_switch,def_switch,us,them,score_dif
4886,1,0.0,0.0,0.0,0.0,33.0,27.0,0,0,0,"(8475807.0, 8476374.0, 8475780.0, 8476891.0, 8476191.0)","(8475323.0, 8477943.0, 8478561.0, 8470607.0, 8478055.0)",
4887,0,0.0,0.0,0.0,0.0,33.0,16.0,0,0,0,"(8475323.0, 8477943.0, 8478561.0, 8470607.0, 8478055.0)","(8475807.0, 8476374.0, 8475780.0, 8476891.0, 8476191.0)",
4888,0,0.0,0.0,0.0,0.0,0.0,20.0,0,0,0,"(8475738.0, 8474190.0, 8474037.0, 8477462.0, 8476906.0)","(8475225.0, 8475714.0, 8477942.0, 8469465.0, 8475625.0)",
4889,1,0.0,0.0,0.0,0.0,18.0,20.0,0,0,1,"(8475225.0, 8475714.0, 8477942.0, 8469465.0, 8475625.0)","(8475738.0, 8474190.0, 8474037.0, 8477462.0, 8476906.0)",
4890,0,0.0,0.0,0.0,0.0,23.0,31.0,0,0,0,"(8476461.0, 8474161.0, 8476872.0, 8477948.0, 8473584.0)","(8475793.0, 8477451.0, 8478042.0, 8475218.0, 8474056.0)",
4891,1,0.0,0.0,0.0,0.0,0.0,31.0,0,0,0,"(8475793.0, 8477451.0, 8478042.0, 8475218.0, 8474056.0)","(8476461.0, 8474161.0, 8476872.0, 8477948.0, 8473584.0)",
4892,0,0.0,0.0,0.0,0.0,5.0,48.0,0,1,0,"(8478439.0, 8473512.0, 8477290.0, 8477948.0, 8478500.0)","(8475793.0, 8477451.0, 8478042.0, 8475176.0, 8474600.0)",
4893,1,0.0,0.0,0.0,0.0,5.0,48.0,0,0,1,"(8475793.0, 8477451.0, 8478042.0, 8475176.0, 8474600.0)","(8478439.0, 8473512.0, 8477290.0, 8477948.0, 8478500.0)",
4894,0,0.0,0.0,0.0,0.0,0.0,35.0,0,0,0,"(8478439.0, 8473512.0, 8478067.0, 8478500.0, 8476906.0)","(8476428.0, 8474736.0, 8477919.0, 8475176.0, 8474600.0)",
4895,1,0.0,0.0,0.0,0.0,0.0,35.0,0,1,0,"(8476428.0, 8474736.0, 8477919.0, 8475176.0, 8474600.0)","(8478439.0, 8473512.0, 8478067.0, 8478500.0, 8476906.0)",
4896,0,0.0,0.0,0.0,0.0,0.0,27.0,0,0,0,"(8471685.0, 8470606.0, 8470602.0, 8480147.0, 8475762.0)","(8475236.0, 8471669.0, 8475204.0, 8471817.0, 8477220.0)",
4897,1,0.0,0.0,0.0,0.0,0.0,27.0,0,0,0,"(8475236.0, 8471669.0, 8475204.0, 8471817.0, 8477220.0)","(8471685.0, 8470606.0, 8470602.0, 8480147.0, 8475762.0)",
4898,1,0.0,0.0,0.0,0.0,10.0,10.0,0,0,1,"(8480012.0, 8478444.0, 8476466.0, 8475690.0, 8471303.0)","(8478400.0, 8475913.0, 8480801.0, 8476331.0, 8478846.0)",
4899,0,0.0,0.0,0.0,0.0,0.0,39.0,0,1,0,"(8478400.0, 8475913.0, 8480801.0, 8476331.0, 8478846.0)","(8480012.0, 8478444.0, 8476466.0, 8475690.0, 8471303.0)",
4900,0,0.0,0.037075699999999996,0.113096,0.0543064,34.0,65.0,0,0,0,"(8476873.0, 8477935.0, 8471707.0, 8474612.0, 8478396.0)","(8476822.0, 8471794.0, 8476960.0, 8474722.0, 8468509.0)",
