,Player,oRelPM_78,dRelPM78,oPM val_78,dPM val_78,oRelPM_56,dRelPM_56,oPM val_56,dPM val_56,RelPM_78,RelPM_56
0,Jarrett Jack,0.6757703364680973,-0.05564355652623324,"[-0.0895291789150678, 0.234255633651872, 0.108604914067396, 0.0302842669429137, 0.11736561070419699, 0.19155090480049103, 0.0166029326852432, -0.0453538853260141, 0.221285070014873, 0.253789771341984, 0.414340369736635, 0.637397024654506, 0.0422750894770091, 0.702707586051772, 0.22100181476791397, -0.584973949575364, 0.40041995490905397]","[-0.0614352790481642, -0.130622310855977, 0.0981171152216098, -0.0579353051755584, 0.0732065131381155, 0.0638440892344064, -0.0286469092966949, 0.0754356083827641, 0.27128537373859, -0.320168658262223, 0.0905927008565069, -0.539488873456898, 0.21852506984981102, -0.0739248018496622, 0.0702243091023507, 0.14208025635913502, -0.127574013174603]",-0.1207301826921955,-0.24594099631250257,"[-0.12210094878727303, 0.0442362284318431, -0.223324135288365, -0.229865297904808, -0.0122965384464033, -0.40393997443958296, -0.0909245913439646, -0.11831767021789698, -0.100288925313235, 0.142457042691792, 0.00350221072221604, 0.46635306854334296, 0.00350220123072577, -0.0384062978359613, -0.36850333304951005, 0.0284846817986534, 0.29384758456140103, 0.0130579712060942, -0.018770309441816003, -0.0379249887867661, 0.0172171166214554, -0.0240995925324939, 0.0819059471004284]","[0.6431435521727099, -0.526332814505117, -0.2800045149386, -0.0936862178764726, -0.0301504849458643, -0.0699348612690548, -0.0393832919085833, 0.0391767223762389, -0.0730231293877343, -5.1683398461416294e-05, -0.00935679441592313, -0.357350805927292, -0.009356794273939059, -0.0168605586838902, 0.19953482913328, 0.015180796752813999, 0.0917073924116489, -0.00878683581571295, 0.0780521167308606, -0.0145071611543014, -0.41010565388332004, -0.00668237449880273, -0.535382161491373]",0.620126779941864,-0.3666711790046981
1,Thabo Sefolosha,-0.44954286092644113,0.939016518125438,"[0.34545531836798, -0.23320790319805, -0.5181722265793011, -0.00484056890610917, -0.0219449783264516, 0.0242684891462685, -0.258147216942048, -0.8106221973842509, -0.265076840392034, -0.0405623280550664, -0.0764689907664785, 0.254945943115212, -0.0920607949972403, -0.0126251745072464, -0.549628086622376, 0.381797766727474, 0.156310186532085, -0.0717544909992324, -0.52155519808796, -0.26638170569982, 0.22017097771082897]","[0.970974438689047, -0.0798266856379742, 0.182830197760199, -0.0447883310515722, -0.0209489724449333, -0.0248662707123761, 0.16164786169475198, 0.611513993284896, -0.23786757930663702, 0.55785435866499, 1.00565267716571, 0.037427566222737, -0.0701123243932168, 0.0118313930569269, 0.15602322983955, 0.5764461904178281, 0.169596558979716, 0.0432991874849987, 0.6199176085717271, -0.0854887904227739, 0.388720412294956]",-0.6683464629585859,0.6547958736868235,"[0.195807173701475, -0.0058297180732804, 0.0398799220729213, -0.0717778807547692, -0.132777692915964, 0.5243757078115341, -0.0444366041505552, -0.0196392911695807, -0.781868255946068, -0.276158941417793, -0.924629360524455, -0.9124580187830921, 0.11751776921080001, -0.393847113862559, -0.6827978282703571, 0.433233966570243, -0.19782206386122, 0.15469474848186904, 0.00409350114208818, -0.14272144969165398, 0.0128000423720782, -0.0103393634673566, -0.640311361184251, -0.255066665041569]","[-0.263916703298534, 0.0196406744086087, 0.7737313902517, 0.158391168825157, 0.106707843946827, 0.903237227378572, 0.685233809051259, 0.824468716264374, 0.26331343556191394, -0.2861053434844881, 0.63373318205989, -0.310734206157722, -0.452657437474123, 0.8800375288024871, -0.626257959686095, 0.0223126514661037, 0.0151409747075142, 0.104039947233752, -0.252671830666732, -0.0124256537393273, -0.135165813588518, 0.498631456986748, 0.0960444803915433, 0.28404570288003]",0.4894736571989968,-0.013550589271762448
2,Courtney Lee,-0.31654667126574937,-0.3441848446393798,"[0.253789771341984, -0.398559326081483, -0.0445463031511676, -0.35826155130476295, 0.38756975104004493, -0.074753580602509, -0.257255633780402, -0.030881112261084, 0.0785888646635215, 0.0886635788370846, 0.0448713750720898, -0.00132114304684678, -0.35971476832154, 0.129084198814598, -0.10006924700349801, 0.0885922270960926, -0.169645784225957, -0.15289593266542098, 0.014299507535351003, 0.138545005180078, -0.0995717222251227, -0.164389124817245, -0.0358275620419678, -0.0373459512271997, -0.0566797304660091, -0.290419393634464, -0.6962762361449389, 0.274534877348614, -0.149096199062718, 0.39063432583785707, -0.105504292965254, -1.11151314300898, -0.253143030945394, 0.112195905212425, 0.29390418467914303, -0.19652284506666298]","[-0.320168658262223, -0.14257803340063901, -0.00226591662990338, 0.131958818921143, -0.0191225146049898, -0.656271674058777, -0.27436684569522796, 0.0717032297535724, -0.0519711970230844, -0.0804262200296903, -0.17671822827352396, 0.0516745560253594, 0.13615174846207598, 0.157524010396853, -0.0949278387959805, -0.44029872590463304, -0.429452120012014, -0.0700799336596296, -0.0330257030271291, 0.0529183356385819, -0.063685660683266, 0.0341666495718266, -0.0133962079041452, -0.479192787742234, 0.0640945275024607, 0.162122319829822, -0.0655386700049231, -1.2649752455516698, 0.209101192366172, -0.23342908782352897, -0.36731880640657394, 0.7192723684462671, -0.0388021608968764, 0.0317032869860209, 0.39623458800162703, 0.00172300273446221]",0.6269497969707934,-0.3287324328815119,"[0.866122891120932, -0.096821598655506, 9.87800004718891e-05, 0.0094792393265557, 0.159438939881247, -0.0854629203411309, 0.17684665945578895, -0.16993659198881697, -0.12263206802276401, 1.00244686919438, -0.0262735749395228, 0.0165477379469021, 0.24571726387471898, -0.0147359899674866, -0.429532101862683, 0.277322025148771, 0.0423108908938561, 0.668308675484554, 0.400476727287659, -0.38454296066828003, 0.11567557776034698, -0.0124188796758783, 0.0637977347909363, 0.12770918139058599, 1.03331246455984, -0.257652479266883, -0.0622548100494163, 0.409961608713702, -0.170432570724962, 0.00175625952464666, 0.599882759883372, -0.0515679235599318, 0.0962038810835308, -0.0395702094081054, -0.0163382988850773, 0.20955379183282397, 0.615451268226541, 0.395488704242962, 0.7982976093183329, 0.20033835521555104, 0.0734531972392448, 0.0756914235600315, -0.0018072215058093399]","[-0.0813291024612607, 0.310179309222136, -0.0875116084158384, -0.148137573821551, -0.15341044647416902, 0.0103260066697136, -0.233063046068714, 0.124089940824606, -0.188936878169754, -0.6076295760856141, 0.0159422233820966, -0.471797448525979, -0.52624269617723, -0.017990753352538004, -0.509021047845935, -0.14549202981548098, 0.352962527394728, 0.0386710201600202, 0.535233462094564, -0.0562999554286278, -0.10487639353158199, 0.00750109343907916, 0.12192719710519301, -0.304875009935859, -0.170761032671871, 0.19969118754684, -0.6821087870229701, -0.0204440390764901, -0.00441927753361436, -0.0144985023926354, 0.0150659640329374, -0.0054413868693593, -0.0718354827540036, 0.0474774094655504, 0.0163321478661932, -0.22568269136556499, -0.13526202747560498, 0.29494745968793895, -1.21242393802649, 0.140990119574134, 0.7124387931992421, -0.30593441887436, 0.0077756350318715795]",-0.6607315159051292,0.29821736408928157
3,Treveon Graham,0.05480829216643334,0.10882096119486832,"[0.13702894965106402, 0.6030609341895711, -0.10254994727137999, 0.0981471369413539, 0.16381276693243696, 0.0578197689322721, 0.0105920224893785, -0.0117117115740462, -0.8886927599876541, 0.299781908543188, -0.184835620024266, -0.0028798136924798397, -0.0614596554651413, -0.0165041008053911, -0.0162470722080714, 0.333664384479199, -0.12942115175072, 0.40311389560028704, -0.106509901485676, 0.44838063335256206, -0.0653268904083576, -0.122543095237149, -0.19833739262441002, -0.0126608789819631, 0.0951328694723963, 0.147090234340643, -0.0150107468021871, -0.14906330023506303, 0.16509355752009, 0.473024309418716, -0.8245901951372099, -0.0889328008405255]","[-0.260610058583563, -0.0329367841278948, -0.141903710261014, 0.37725680052788896, 0.265181044769213, 0.008758070271019491, 0.182732641174424, -0.0428391702535561, -0.28282296607846996, -0.20765081939470897, 0.0871652437383855, -0.0251207167011586, 0.163272337125387, 0.0460311183056655, 0.0796578738446361, 0.33919500614078, -0.462961816246495, -0.0163932570712503, 0.404187810984051, -0.33915670758967603, -0.0057597531323159605, 0.17609692708100896, 0.0955549229515926, -0.209109274045932, 0.008929513334174171, 0.178526018164149, 0.260540994788199, 0.34871167260105296, 0.212705574299932, 0.0152920398963325, -0.0024086857576734, -0.34955420119523695]",-0.4143958910027202,-0.13265675550550082,"[-0.19471451407249898, -0.0477616395983917, -0.107057088611985, -0.136569961002837, -0.177263313943463, -0.0776636914383628, -0.12390157861097802, -0.198583782721643, -0.184571039795172, -0.0828559048464028, 0.24996816858364002, 0.130739678935417, -0.30785501835692103, -0.0912585456536112, -0.25649936055745104, -0.143374691700693, -0.0119602533702068]","[-0.0812187900877783, -0.0018240696772803603, -0.31126604413005704, 0.11084305079407401, -0.179248659600883, 0.0288325986562323, 0.0740534871203129, -0.0854814075942967, -0.0450600217821917, -0.0286631464995291, -0.106108720251667, 0.216193721519535, -0.008730692968253259, -0.22734154899503198, -0.0508077693309846, 0.132503944568549, -0.00046714263912856505]",0.16362925336130166,-0.547052646508221
4,Bobby Portis,0.4531980059050894,-0.7646967142897175,"[0.0096603080993281, -0.11100748753652802, 0.39417888183504707, -0.152455756593211, -0.778909899248853, -0.0200432991089605, 0.24736786698499102, 0.082469684050004, 0.199992236362589, 0.009154667802781609, -0.08044403562768598, 0.0038306535298715705, 1.05309971427921, -0.26666909608688, 0.0853221081406686, 0.0518158416454119, 0.0534882811972521, -0.007195687849089241, 0.0428603865272637, -0.10907958489442199, 0.10763338834307598, 0.0730812925609902, 0.60794247682101, -0.158884417295736, -0.0299917818272034, -0.0956850423861139, 1.07776318058733, 0.35056107682043103, -0.0145016959174339, 0.258176157869012, 0.52122440115517, 0.10117999007837199, 0.408827463070698, -0.201904358668032, -0.000532088947015669, 0.136478552031036, 0.34327717681769804]","[-0.11368846980375999, -0.214662149794754, -1.02654846806927, 0.224577462709108, -0.37827487420169004, -0.5207855810212171, 0.18595410493209696, 0.036188124746265, -0.510119781178197, -0.234737455473332, 0.26332834475002, -0.29165283518512, 0.450492803940041, -0.197543853166889, -0.15927881791703102, -0.0725585677826533, -0.432229538059226, -0.280826468110564, -0.240869536078258, -0.33527999639462797, -0.0895963201017548, -0.0746037548466628, -0.271612006798992, -0.0750819951026503, 0.286426624558812, -0.17070171376001297, 0.581142467431958, -0.437044025183337, -0.00939967758929082, -0.43212831677384006, -0.46767349538163294, -0.0488018715497024, -1.26749422062798, 0.117505876391466, -0.0423288219893254, -0.477112992136743, -0.34642481256114]",0.02505270720060856,-0.46762404776872507,"[0.22641818267923397, 0.441771937800413, 0.192249161770625, 0.0164862820004342, 0.15046070557883098, -0.55165610685028, -0.0254723546076031, -0.29399433097966904, -0.0252032929451849, -0.207883205188224, 0.18172605345062803, -0.13560993566806198, 0.0237622092685991, -0.10335588711688799, 0.274853991453447, -0.313878914893208, -0.29627699470466995, 0.26717791414868897, 0.27606099211162394, -0.0115367102066099, -0.15693783705476, -0.165289937593551, 0.164579099562325, 0.11293071221473401, 0.0133341632323242, 0.10812669934075801]","[0.14894763988753199, 0.319346781435732, 0.664812009213154, 0.18320193926733602, 0.15459489558110098, -0.575942534257741, -0.23483069557591799, -0.30127931961671395, -0.212130228617242, -0.387737674184965, 0.27738538789332895, -0.268407550758823, -0.27424282355713697, -0.379705108945613, 0.250044014544411, -0.0141554034362816, -0.504686001587492, 0.175631115289359, 0.0311423675771938, -0.14570222788542, -0.9472747077462942, 0.129119180950853, -0.0622694997207408, -0.239031519378109, -0.376724602022157, -0.449661744846066]",-0.3114987083846281,-0.44257134056811653
5,Jrue Holiday,0.8357764912282472,0.661117614788218,"[0.700402401550057, 0.333960237534987, -0.0313840008366871, 0.169279407991332, -0.0358016371179009, -0.0238938738911638, 0.257206290200544, 0.0240785522341638, 0.0336936269481605, 0.0377636406502915, 0.0173902573712423, -0.18501880769468804, 0.40660660859049796, 0.0847217656079094, -0.0918030714462604, -0.11679229442233, -0.46556716582241403, 0.37728511657400504, 1.35124762970709, 1.2845357629170802, 0.34400225165455395, -0.650974826053136, -0.0315272764324671, 0.8981480383015851, 1.0091635825651, 0.9037091876307242, -0.12375257445805099, -0.0733347115453883, -0.0034887874227561, -0.131531646674228]","[-0.359283911465963, 0.17070581261927198, -0.0525433610008707, -0.0764503485138364, -0.00045505609919819904, 0.00534491951349136, 0.5806682973944239, -0.0706797017663629, -0.0693050450469134, 0.0665343836880082, -0.0250950471037177, 0.12610425390005098, -0.5560995559617379, 0.360245760058553, -0.0195288086452075, 0.5701673561180539, 0.0534289532312532, 0.38113285755547904, 1.9674241439595699, 1.06982656920397, -0.489126953433955, 0.849838912287862, -0.0024605036304045603, -0.0428884924796059, -0.467119740082948, 0.212475199256292, -0.0785241903119978, -0.0782761664644005, 0.576515464801334, 0.355806109331141]",0.09751860400867633,0.633083140308473,"[-0.0122965384464033, 0.267295569493758, -0.25956949616525, 1.06675121461701, -0.0991970099187807, 0.00835910596017707, -0.22665878410201198, -0.122227391399389, 0.0168453769336018, -0.0348888289583224, -0.10182571866799402, -0.21444271770983, -0.0797467607843322, -0.122621178169956, 0.42448414695938697, 0.628402800691079, -0.46611892798968607, -0.165954490374966, -0.0901148696194237, -0.0452274580674421, 0.201972683878851, 0.273895242690871, 0.11378494434890302, -0.0490891527670296, -0.0191043697759318, -0.39667885671303005, -0.0722861549967661, 0.17822915122786398, -0.12354517658686301, 0.24062707054590401, 0.247284100561422, -0.230988623213595, 0.13604320976663, -0.0424839791747059]","[-0.0301504849458643, 0.0265962509858122, 0.673808085354439, 0.068471174322495, -0.0577355967868981, 0.261469881328862, 0.107043340837019, 0.0467197305877391, 0.137932380114364, -0.0767576757881418, 0.19716380491521102, 0.0583241294257166, 0.0252548959091526, -0.104990735671996, 0.12343540215383099, 0.318569946913218, 0.10309293143182499, -0.0113483550475135, 0.0410641171886747, 0.0800796700252816, 0.00267003605101933, -0.246735439605121, 0.06756589317621499, 0.0243648015156406, 0.0348591514709991, 0.505455350526634, 1.26746936043299, 0.135824438610219, -0.23528344753869396, 0.311982003164905, 0.708934693858014, 0.40007685667273, 0.522405777361044, -0.10642567632780198]",1.496894106016465,0.7306017443171493
6,Ersan Ilyasova,0.27650656733655155,0.639142058315717,"[0.0171791390928445, 0.00493682969136052, 0.0822026433330753, 0.0224033817287999, 0.21945168834700604, 0.149409648860307, 0.382807885361649, 0.065901695878716, -0.10262877410420598, 0.207520017198668, -0.296979688630271, 0.6364205691694871, -0.120444178000026, -0.0438490125474613, 0.12554069779969, 0.154560412254444, -0.296709976372872, -0.8552939236469659, 0.202249121591927, 0.0425554844889704, 0.18073163657054997, 0.0215062476044324, 0.430381496926125, 0.0380605505175983, 0.17726278635298898, -0.21411675108093697, -0.0140151571488605, 0.518843816190429, -0.0449419048078471, 0.0274964764699562, 0.11905056263537402, 0.7275036190294771, 0.159309715616469, -0.43687381978335904, 0.117133527018029, 0.16125473771557, 0.27101818367218805, 0.39763747702864, -0.005807931650594521, 0.0573607292838327, -0.323986898675492, 0.27294199989219503, 0.599983719382439, 0.00784355766204647, -0.0247188790094856, 0.248350938665849, -0.135964582044644, -0.23601043941110297, -0.160731577983016, -0.0774054064270999]","[0.209443097010163, 0.128694538905863, 0.20403888952661, 0.0266461164308137, -0.102394132201015, 0.635576247462994, 0.45210237088891403, -0.0460530356898124, -0.108100731288812, 0.0858227024897974, -0.254668491722625, 0.29715701677369705, -0.19806993421661603, 0.0993274425740766, 0.25326128582403795, 0.557650515514649, 0.11285421552307699, 0.292961220691933, 0.265423386439603, 0.20282511374674897, 0.0887329611047318, 0.0653209895952253, -0.213023784127581, -0.297572252018953, 0.7849335792817309, 0.08881416447386699, 0.000754702257358309, 0.39964064174052, 0.3911676900193471, -0.159003207192418, 0.294793935543575, 0.199350752261651, -0.147838018870882, -0.188835235440405, 0.489413886557536, 0.337389055643119, -0.0540779723440008, 0.41286145355356796, -0.0584776677880177, 0.277387420271377, 0.5104756699648879, -0.0038897900500825897, 0.710967579961129, 0.0366900365128653, 0.14033111055240502, 0.473926439449155, 0.24572712019695603, -0.369552422129781, 0.310140242845436, 0.10822881243804698]",0.00041843355664481613,-0.20061541044334485,"[-0.0780541704837748, -0.037344052838863, 0.148496017171086, -0.24958192110904898, 0.12622471298882598, 0.0245420442983906, -0.12416040636930499, 0.149046367089809, -0.0975160595591098, 0.266887554380543, -0.302001254061329, 0.195807173701475, 0.0842602209812874, -0.0507312093486552, -0.0567501201460488, -0.0424445971114882, -0.170071974244651, -0.0218727343560196, -0.0215730318638049, -0.15507992450398, -0.155708859900966, -0.00142334430792798, -0.0494200107084346, -0.145694052009198, 0.41660299396250106, -0.273438132871982, 0.719898582010823, -0.10097504754215801, 0.211647352484475, -0.0569563013672228, 0.184720319486094, 0.25734643110342303, -0.0867983509170806, 0.0767100066195608, -0.147617852266604, 0.0306617865472363, 0.12296928705138199, 0.21526883174856398, 0.33008402490271604, 0.22986435122129803, -0.0899991980810471, -0.0018281862374626698, -0.0379307001179077, 0.0842188685603789, 0.0231698913190602, 0.00649855174235265, 0.0160533305263062, 0.0454364629119216, 0.28301726544319, -0.187121168042181, -0.0998146422885667, -0.175478657588358, -0.34107452747725503, 0.0457683565888537, 0.0430504514887985, -0.00402064762054096, -0.112795567737167, -0.0284570238140061, -0.0615024470710324, -0.439712832867885, -0.284848845194805, -0.04196766417649]","[0.304927883579526, -0.25238966517489103, -0.24401295132812303, -0.275184062334662, 0.0310318116571616, -0.165388062727336, -0.130721847816157, 0.18216113180613, -0.00443222168792445, 0.0797705238875494, 0.468452103099062, -0.263916703298534, 0.23804438551373702, -0.661319531169555, -0.44233254026272295, 0.050035839496374995, -0.6485340945047271, -0.23943998972801, 0.07775634919100599, 0.0901357204691421, -0.136950526940362, 0.285529431949683, 0.0313023785694362, 0.00427442763760161, -0.242676746070903, -0.181681421065997, -0.01704923166073, 0.0391029937269047, -0.0892632720869364, -0.07464865900210699, -0.706044495063297, -0.337667363223245, -0.004945515041918629, -0.34973435264725, 0.0929154690078553, 0.14313054792736202, -0.25625553638739, 0.0555020859849126, 0.203131064334584, 0.15727621217028198, -0.108799887676846, 0.0690406256522983, 0.06031961957537, 0.16396145661487196, -0.2805786582087, -0.0397722758499304, 0.0156583209436065, -0.17211232531271, -0.580086132922906, -0.050040235666422, -0.0559244293962181, -0.075882764456635, -0.0845557463157064, -0.40481196881424397, -0.0275581645181641, 0.37879902909741103, 0.37054677086908294, 0.08252674820894901, 0.0388977962896467, -0.13970052406108, 0.817650182101223, 0.102992131189726]",0.9156486256522686,-0.20019697688670005
7,Amir Johnson,-0.2598507586605529,0.2838984649853785,"[0.0171791390928445, -0.0800112815572023, -0.0834680666322393, -0.691219819779966, -0.0368637267055842, 0.0225929794294838, 0.22054490704439003, -0.258638571562214, 0.0440775730674124, -0.0570383002546519, -0.27266425266734, 0.0972325128276177, 0.0806139020746511, 0.0761313820267739, -0.0189723931686207, 0.33898914859632795, -0.0104640000542692, -0.509484713235692, 0.27483567667390396, -0.539457064493074, -0.119109368391018, -0.0202015124144601, 0.0023164896835863, -0.045330984638765996, 0.0720805440018845, -0.0790484132148032, 0.33203658867491403, -0.130637297423772, -0.12438378198860699, 0.0, -0.30766778144859697, -0.272775582847337]","[0.209443097010163, 0.33068461480091305, 0.0775709628489396, 0.6851658582084461, 0.0536649403139345, -0.082457035140685, 0.0544346997162071, 0.0593850834435814, 0.11345120939248599, -0.11438100348570698, -0.23927586364330605, 0.000822186505393568, -0.14076680500867, -0.685554364615898, 0.0100450637976172, 0.23553126240569602, 0.12090911980052499, 0.0840767944972007, 0.0008871755753975859, 0.151475003940103, -0.0308195316023218, -0.0184206931832088, 0.0311278038564071, -0.268988327173703, 0.985629273032156, 0.238269088149577, -0.0738105878280563, 0.0497617860641368, 0.107788141332383, -0.0, 0.229100851535538, 0.0964379153377824]",0.4897501170997101,1.0198618794858696,"[0.574212865705202, 0.025336749532876002, 0.0304604753526431, 0.192202461760307, -0.0852697951656887, 0.33112067702519604, -0.0554324691229121, -0.11971284247510301, -0.113765119262955, 0.663291611896781, 0.0655687849665061, -0.0854764831834629, 0.39899975303235397, 0.180832791577359, -0.14591901401686302, 0.10255002077660101]","[0.0907774641721375, 0.0332228154348156, 0.135792340063718, -0.0040711092154577105, 0.10328806978982301, 0.34653110402090104, 0.18446255937688702, 0.419795527682589, 0.319614602929177, 0.24337872896227103, 0.17079566075217903, -0.236059546530014, 0.8586847256579441, 0.376266334596319, 0.0952961709478247, 0.941672069302364]",0.024047706324825613,1.5096119965855797
8,Brandon Knight,-0.3129083532236541,-0.5932056030413347,"[-0.0622248727274985, -0.0202404415115488, -0.266441191960938, -0.0345651274592469, 0.22749346672881302, 0.0236100742711452, 0.00486917286331792, -0.0286578264207714, -0.25399537713355197, -0.0527345568668869, -0.190940722553295, 0.0705867558468079, -0.209733017196229, -0.298379971803456, -0.307750198644557, 0.0239473796778276, -0.0825180901256123, -0.258626098902651, 0.11231355611034101, -0.0977807111306274, 0.0635361319123307, 0.0395963635054272, -0.278412867389104, -0.000401948431960605]","[0.121304306237807, 0.0161008245509771, 0.21720082932267698, 0.11688009707804302, -0.214601280630145, 0.0199391681974235, 0.20382039421544298, -0.206945541883247, -0.657568143427612, -0.972778939780606, -0.677704141629855, -0.17785110567287898, 0.19347610733351997, -0.37148012087164095, -0.553630952774785, 0.0734544093339763, 0.0705643515661172, -0.0217166104790349, -0.00904850934000198, -0.0927754102528972, -0.400623270435742, -0.42978782775857705, 0.0162762261727346, 0.178261522680295]",-0.546590960183468,-0.5849123795917622,"[0.194828959919142, -0.45610029935630503, -0.12646546971426598, -0.1094778359185, -0.0236178019122179, -0.31792840941053196, -0.4749855163311861, 0.0578842901361927, -0.123451305707961, -0.402981105179729, -0.17712954168671202, 0.0198109019247059, -0.0314543412076349, 0.28394458206272305, -0.033016905973609, 0.39850224384362803, -0.7621034639944521, 0.0779545404891382, -0.0778635265366818, 0.0700521863095054, -0.28093864180344, -0.9279109063266179, 0.0795493453198676]","[0.11804010006839, -0.11514050758104598, -0.515207512384924, 0.105048460087422, -0.38781436209096, 0.0294145144593773, 0.14484180435217497, 0.00711765460021612, 0.000800426788107329, -0.489727963071168, -0.11939566363797698, 0.034264553063121, 0.303327149784471, 0.190864971026151, 0.0285099261263509, -0.522983491928391, -0.998689563617606, -0.6133801668409511, 0.0459092857168008, -0.0245604399717257, 0.00678936739416873, 0.0229276064424205, -0.614202331437055]",-0.9061139562649889,-1.13150333977523
9,Will Barton,0.7359795407668374,-0.1858232240586581,"[0.37791445111595295, 0.39702458149512104, 0.133932997065321, 0.169017614655367, -0.11129778631642802, -0.243993242628299, 0.030794973446962, 0.28184411829279304, 1.71558079409532, 0.0211659247073932, -0.005070043878040571, -0.620893723604126, 0.269801858522152, 6.3394813638514395e-06, -0.48123825887488997, 0.635363426321809, 0.9235769385522191, -0.0069975654588503, 0.009369421651337459]","[0.302037927889585, -0.200754530861908, 0.0381980295721252, -0.277536500449459, 0.0523692450077992, -0.40068259552387103, 0.29580852069514696, -0.396692739410327, -0.534201445137823, -0.47519704568023896, -0.0293151993276359, -0.0511207529597502, -0.0829017490103596, 4.0081166041402705e-05, 0.08962586385421799, 1.05512585257515, -0.051691984548120004, -0.10670253438846301, -0.10906875774073599]",-0.1131056173368692,-0.6905211128052912,"[0.186466361977629, -0.249361432518091, -0.00195017324067388, 0.0042153527208098895, -0.401768549142565, -0.457358909423073, -0.00749635260232601, -0.021728629741333997, -1.1285789479958799, 0.10894083293928901, 0.0389615377927359, 0.5411569403944461, 0.08583591197666701, 0.273875926053159, -0.05959112666780099, 0.252930864518382, -0.6028682714701801, -0.16268036290535098, 0.00945451910691246, -0.0301020087263223, 0.0605214188430755, -0.0565090118503011, 0.9290458861156149, -0.287287503266478, 0.26896561875622305]","[0.5799741193881359, -0.503810678722358, -0.0020103274489696697, -0.9197707101982769, 0.270869814852158, 0.526584005670268, 0.0542314681695738, -0.6740606424704809, -0.682062331381807, -0.414372635207586, -0.0171295162251494, -0.120764359871893, -0.768250202792714, 0.14984715656134698, 0.0123821021418392, -0.4151950460897779, -0.540830505431149, -1.4023925668567698, -0.10877588926620099, -0.0806686829243375, -0.0736215373165846, -0.132312395237673, 1.04406216681291, -0.32895077231570197, 0.23127101112812698]",0.5501563167081793,-0.8036267301421604
